degree_name,degree_category,stem
Construction Engineering,Engineering,Yes
"Electrical, Electronics, and Communications Engineering, Other",Engineering,Yes
Environmental/Environmental Health Engineering,"Natural Resources and Conservation
",Yes
Metallurgical Engineering,"Natural Resources and Conservation
",Yes
"Apparel and Textiles, General",Other Trade,No
Early Childhood and Family Studies,Education,No
"Family Resource Management Studies, General","Family and Human Sciences
",No
Human Nutrition,"Family and Human Sciences
",No
Community Health and Preventive Medicine,"Health and Kinesiology
",No
Nursing Science,Nursing and Related,No
"Public Health, Other",Nursing and Related,No
American/U.S. Law/Legal Studies/Jurisprudence,"Legal Professions and Studies
",No
"Legal Research and Advanced Professional Studies, Other","Legal Professions and Studies
",No
Tax Law/Taxation,"Legal Professions and Studies
",No
Library and Information Science,"Computer and Information Sciences
",No
"Applied Statistics, General","Mathematics and Statistics
",Yes
Mathematical Statistics and Probability,"Mathematics and Statistics
",Yes
Educational Psychology,"Psychology
",No
School Psychology,"Psychology
",No
Criminology,"Law Enforcement, Firefighting and Related
",No
Agribusiness/Agricultural Business Operations,"Agricultural/Animal/Plant/Veterinary Science
",No
"Soil Science and Agronomy, General","Agricultural/Animal/Plant/Veterinary Science
",No
Veterinary Pathology and Pathobiology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
"Veterinary Sciences/Veterinary Clinical Sciences, General","Agricultural/Animal/Plant/Veterinary Science
",Yes
"Physiology, Pathology, and Related Sciences, Other","Agricultural/Animal/Plant/Veterinary Science
",Yes
"Construction Management, General","Business
",No
"Organizational Communication, General","Business
",No
Education/Teaching of Individuals with Emotional Disturbances,"Family and Human Sciences
",No
Chemical and Biomolecular Engineering,"Biological and Biomedical Sciences
",Yes
Medical Staff Services Technology/Technician,Nursing and Related,No
Environmental/Natural Resource Economics,"Natural Resources and Conservation
",No
Forest Management/Forest Resources Management,"Natural Resources and Conservation
",No
"Public Policy Analysis, Other","Public Administration and Social Service
",No
Biostatistics,"Mathematics and Statistics
",Yes
Cell/Cellular Biology and Histology,"Biological and Biomedical Sciences
",Yes
Epidemiology,"Biological and Biomedical Sciences
",Yes
"Genetics, General","Biological and Biomedical Sciences
",Yes
Human/Medical Genetics,"Biological and Biomedical Sciences
",Yes
Immunology,"Biological and Biomedical Sciences
",Yes
Molecular Biochemistry,"Biological and Biomedical Sciences
",Yes
Molecular Physiology,"Biological and Biomedical Sciences
",Yes
Neurobiology and Anatomy,"Biological and Biomedical Sciences
",Yes
Pathology/Experimental Pathology,"Biological and Biomedical Sciences
",Yes
Pharmacology and Toxicology,"Biological and Biomedical Sciences
",No
Vision Science/Physiological Optics,"Biological and Biomedical Sciences
",Yes
Selling Skills and Sales Operations,"Business
",No
"Educational Assessment, Testing, and Measurement",Education,No
Health Teacher Education,Education,No
Electrical and Computer Engineering,"Computer and Information Sciences
",Yes
Clinical Nutrition/Nutritionist,"Health Professions and Related
",No
Clinical/Medical Social Work,"Health Professions and Related
",No
"Dental Clinical Sciences, General","Health Professions and Related
",No
Dentistry,"Health Professions and Related
",No
Environmental Health,"Health Professions and Related
",No
Genetic Counseling/Counselor,"Health Professions and Related
",No
"Health and Medical Administrative Services, Other","Health Professions and Related
",No
Health/Medical  Physics,"Health Professions and Related
",No
Nuclear Medical Technology/Technologist,"Health Professions and Related
",No
Optometry,"Health Professions and Related
",No
